t,scale_R_gps,scale_Q,scale_gate
52.963164,1.500000,1.000000,1.000000
53.063198,1.500000,1.000000,1.000000
53.163215,1.500000,1.000000,1.000000
53.273133,1.500000,1.000000,1.000000
53.373240,1.500000,1.000000,1.000000
53.483148,1.500000,1.000000,1.000000
53.583220,1.500000,1.000000,1.000000
53.683099,1.500000,1.000000,1.000000
53.793276,1.500000,1.000000,1.000000
53.893246,1.500000,1.000000,1.000000
53.993139,1.500000,1.000000,1.000000
54.103076,1.500000,1.000000,1.000000
54.203061,1.500000,1.000000,1.000000
54.313050,1.500000,1.000000,1.000000
54.413066,1.500000,1.000000,1.000000
54.513032,1.500000,1.000000,1.000000
54.622978,1.500000,1.000000,1.000000
54.722987,1.500000,1.000000,1.000000
54.833001,1.500000,1.000000,1.000000
54.932969,1.500000,1.000000,1.000000
55.032904,1.500000,1.000000,1.000000
55.142986,1.500000,1.000000,1.000000
55.242889,1.500000,1.000000,1.000000
55.352959,1.500000,1.000000,1.000000
55.452884,1.500000,1.000000,1.000000
55.552850,1.500000,1.000000,1.000000
55.662851,1.500000,1.000000,1.000000
55.762848,1.500000,1.000000,1.000000
55.872851,1.500000,1.000000,1.000000
55.972809,1.500000,1.000000,1.000000
56.072822,1.500000,1.000000,1.000000
56.182779,1.500000,1.000000,1.000000
56.282778,1.500000,1.000000,1.000000
56.392925,1.500000,1.000000,1.000000
56.492781,1.500000,1.000000,1.000000
56.592756,1.500000,1.000000,1.000000
56.702731,1.500000,1.000000,1.000000
56.802864,1.500000,1.000000,1.000000
56.902720,1.500000,1.000000,1.000000
57.012638,1.500000,1.000000,1.000000
57.112645,1.500000,1.000000,1.000000
57.222639,1.500000,1.000000,1.000000
57.322781,1.500000,1.000000,1.000000
57.422667,1.500000,1.000000,1.000000
57.532584,1.500000,1.000000,1.000000
57.632601,1.500000,1.000000,1.000000
57.742579,1.500000,1.000000,1.000000
57.842614,1.500000,1.000000,1.000000
57.942589,1.500000,1.000000,1.000000
58.052559,1.500000,1.000000,1.000000
58.152538,1.500000,1.000000,1.000000
58.262590,1.500000,1.000000,1.000000
58.362526,1.500000,1.000000,1.000000
58.462489,1.500000,1.000000,1.000000
58.572465,1.500000,1.000000,1.000000
58.672452,1.500000,1.000000,1.000000
58.772464,1.500000,1.000000,1.000000
58.882503,1.500000,1.000000,1.000000
58.982486,1.500000,1.000000,1.000000
59.092454,1.500000,1.000000,1.000000
59.192520,1.500000,1.000000,1.000000
59.292479,1.500000,1.000000,1.000000
59.402465,1.500000,1.000000,1.000000
59.502365,1.500000,1.000000,1.000000
59.612360,1.500000,1.000000,1.000000
59.712319,1.500000,1.000000,1.000000
59.812469,1.500000,1.000000,1.000000
59.922324,1.500000,1.000000,1.000000
60.022311,1.500000,1.000000,1.000000
60.132318,1.500000,1.000000,1.000000
60.232280,1.500000,1.000000,1.000000
60.332364,1.500000,1.000000,1.000000
60.442245,1.500000,1.000000,1.000000
60.542290,1.500000,1.000000,1.000000
60.652233,1.500000,1.000000,1.000000
60.752213,1.500000,1.000000,1.000000
60.852228,1.500000,1.000000,1.000000
60.962145,1.500000,1.000000,1.000000
61.062155,1.500000,1.000000,1.000000
61.172160,1.500000,1.000000,1.000000
61.272128,1.500000,1.000000,1.000000
61.372167,1.500000,1.000000,1.000000
61.482090,1.500000,1.000000,1.000000
61.582082,1.500000,1.000000,1.000000
61.682080,1.500000,1.000000,1.000000
61.792223,1.500000,1.000000,1.000000
61.892216,1.500000,1.000000,1.000000
62.002014,1.500000,1.000000,1.000000
62.102063,1.500000,1.000000,1.000000
62.201997,1.500000,1.000000,1.000000
62.312067,1.500000,1.000000,1.000000
62.411990,1.500000,1.000000,1.000000
62.521985,1.500000,1.000000,1.000000
62.621931,1.500000,1.000000,1.000000
62.721928,1.500000,1.000000,1.000000
62.831953,1.500000,1.000000,1.000000
62.931913,1.500000,1.000000,1.000000
63.041931,1.500000,1.000000,1.000000
63.141907,1.500000,1.000000,1.000000
63.241894,1.500000,1.000000,1.000000
63.352066,1.500000,1.000000,1.000000
63.451852,1.500000,1.000000,1.000000
63.551844,1.500000,1.000000,1.000000
63.661894,1.500000,1.000000,1.000000
63.761797,1.500000,1.000000,1.000000
63.871851,1.500000,1.000000,1.000000
63.971782,1.500000,1.000000,1.000000
64.071783,1.500000,1.000000,1.000000
64.181773,1.500000,1.000000,1.000000
64.281737,1.500000,1.000000,1.000000
64.391880,1.500000,1.000000,1.000000
64.491751,1.500000,1.000000,1.000000
64.591690,1.500000,1.000000,1.000000
64.701717,1.500000,1.000000,1.000000
64.801825,1.500000,1.000000,1.000000
64.901705,1.500000,1.000000,1.000000
65.011638,1.500000,1.000000,1.000000
65.111633,1.500000,1.000000,1.000000
65.221671,1.500000,1.000000,1.000000
65.321852,1.500000,1.000000,1.000000
65.421636,1.500000,1.000000,1.000000
65.531556,1.500000,1.000000,1.000000
65.631591,1.500000,1.000000,1.000000
65.741516,1.500000,1.000000,1.000000
65.841563,1.500000,1.000000,1.000000
65.941589,1.500000,1.000000,1.000000
66.051533,1.500000,1.000000,1.000000
66.156521,1.500000,1.000000,1.000000
66.261510,1.500000,1.000000,1.000000
66.361568,1.500000,1.000000,1.000000
66.461480,1.500000,1.000000,1.000000
66.571518,1.500000,1.000000,1.000000
66.671446,1.500000,1.000000,1.000000
66.781491,1.500000,1.000000,1.000000
66.881476,1.500000,1.000000,1.000000
66.981383,1.500000,1.000000,1.000000
67.091412,1.500000,1.000000,1.000000
67.191413,1.500000,1.000000,1.000000
67.301604,1.500000,1.000000,1.000000
67.401400,1.500000,1.000000,1.000000
67.501367,1.500000,1.000000,1.000000
67.611310,1.500000,1.000000,1.000000
67.711293,1.500000,1.000000,1.000000
67.821451,1.500000,1.000000,1.000000
67.921293,1.500000,1.000000,1.000000
68.021299,1.500000,1.000000,1.000000
68.131281,1.500000,1.000000,1.000000
